,title,author,release year,synopsis,book length,rating,number of ratings
783,"Blood Brothers (Sign of Seven, #1)",Nora Roberts,2007,"
#1 New York Times bestselling author Nora Roberts presents the first novel in a compelling trilogy about three brothers bound by fate, blood, and a timeless enemy.

In the town of Hawkins Hollow, it's called The Seven. Every seven years, on the seventh day of the seventh month, strange things happen. It began when three young boys--Caleb, Fox, and Gage--went on a camp",328,4.16,52509
784,"Beautiful World, Where Are You (Hardcover)",Sally Rooney,2021,"Alice, a novelist, meets Felix, who works in a warehouse, and asks him if he’d like to travel to Rome with her. In Dublin, her best friend, Eileen, is getting over a break-up and slips back into flirting with Simon, a man she has known since childhood. Alice, Felix, Eileen, and Simon are still young—but life is catching up with them. They desire each other, they delude eac",356,3.59,250892
785,"My Lady Jane (The Lady Janies, #1)",Cynthia Hand,2016,,,4.04,50688
786,"The Other Miss Bridgerton (Rokesbys, #3)",Julia Quinn,2018,,,4.02,27367
787,"The Vincent Boys (The Vincent Boys, #1)",Abbi Glines,2011,,,3.95,73664
788,"Motorcycle Man (Dream Man, #4)",Kristen Ashley,2012,,,4.39,55492
789,"This Man (This Man, #1)",Jodi Ellen Malpas,2012,"Young interior designer Ava O’Shea has an appointment for a first consultation at The Manor with the owner, Mr Jesse Ward. She is expecting nothing more than an overweight, cravat wearing, well-to-do countryman, and on arrival, nothing would suggest otherwise. How wrong could she be? This Man is devastatingly handsome, charming and confident. He is also a conceited, hedoni",448,4.07,109066
790,"The Wedding (Lairds' Fiancées, #2)",Julie Garwood,1995,,,4.16,33476
791,"Chain Reaction (Perfect Chemistry, #3)",Simone Elkeles,2011,,,4.09,62409
792,You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,"Liz Lighty has always believed she's too black, too poor, too awkward to shine in her small, rich, prom-obsessed midwestern town. But it's okay -- Liz has a plan that will get her out of Campbell, Indiana, forever: attend the uber-elite Pennington College, play in their world-famous orchestra, and become a doctor.But when the financial aid she was counting on unexpectedly ",336,4.13,36131
793,You Should See Me in a Crown (Hardcover),Leah  Johnson,2020,"Liz Lighty has always believed she's too black, too poor, too awkward to shine in her small, rich, prom-obsessed midwestern town. But it's okay -- Liz has a plan that will get her out of Campbell, Indiana, forever: attend the uber-elite Pennington College, play in their world-famous orchestra, and become a doctor.But when the financial aid she was counting on unexpectedly ",336,4.13,36131
794,"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,2006,,,3.83,185180
795,Would Like to Meet (Kindle Edition),Rachel Winters,2019,"In this charming, feel-good debut novel, a cynical assistant at a screenwriting agency must reenact the meet-cute scenes from classic romantic comedy movies in order to help her #1 client get his scriptwriting mojo back--but can a real-life meet-cute be in store for someone who doesn't believe in happily ever after?After seven years as an assistant, 29-year-old Evie Summer",336,3.72,19515
796,"A Kiss for Midwinter (Brothers Sinister, #1.5)",Courtney Milan,2012,,,3.88,9569
797,"Hearts in Darkness (Hearts in Darkness, #1)",Laura Kaye,2011,,,3.85,36815
798,The Marriage Game (Paperback),Sara Desai,2020,,,3.53,14635
799,"Dreamfever (Fever, #4)",Karen Marie Moning,2009,,,4.38,98363
800,"Wolfsong (Green Creek, #1)",T.J. Klune,2016,,,4.36,41622
801,"Sweet Dreams (Colorado Mountain, #2)",Kristen Ashley,2011,,,4.38,47278
802,"Ransom (Highlands' Lairds, #2)",Julie Garwood,1999,,,4.32,33842
803,"The Intimacy Experiment (The Shameless Series, #2)",Rosie Danan,2021,"Naomi and Ethan will test the boundaries of love in this provocative romance from the author of the ground-breaking debut, The Roommate.Naomi Grant has built her life around going against the grain. After the sex-positive start-up she cofounded becomes an international sensation, she wants to extend her educational platform to live lecturing. Unfortunately, despite her lon",336,3.71,15730
804,"The Dark Highlander (Highlander, #5)",Karen Marie Moning,2002,"Journey to a world of ancient magic, breathtaking sensuality, thrilling time-travel.... Journey to the world of The Dark Highlander. Crisscrossing the continents and the centuries, here is a novel as gripping as it is sensual—an electrifying adventure that will leave you breathless....I am Dageus MacKeltar, a man with one good conscience and thirteen bad ones, driven to sa",370,4.27,36922
805,"Archangel's Kiss (Guild Hunter, #2)",Nalini Singh,2010,"New York Times bestselling author Nalini Singh returns to her world of angelic rulers, vampiric servants, and the woman thrust into their darkly seductive world…Vampire hunter Elena Deveraux wakes from a year-long coma to find herself changed—an angel with wings the colors of midnight and dawn—but her fragile body needs time to heal before she can take flight. Her lover, t",323,4.2,55634
806,Nick & Norah's Infinite Playlist (Hardcover),Rachel Cohn,2006,"It all starts when Nick asks Norah to be his girlfriend for five minutes. He only needs five minutes to avoid his ex-girlfriend, who's just walked in to his band's show. With a new guy. And then, with one kiss, Nick and Norah are off on an adventure set against the backdrop of New York City- and smack in the middle of all the joy, anxiety, confusion, and excitement of a fi",183,3.7,83459
807,"The Winner's Crime (The Winner's Trilogy, #2)",Marie Rutkoski,2015,"Book two of the dazzling Winner's Trilogy is a fight to the death as Kestrel risks betrayal of country for love.The engagement of Lady Kestrel to Valoria’s crown prince means one celebration after another. But to Kestrel it means living in a cage of her own making. As the wedding approaches, she aches to tell Arin the truth about her engagement... if she could only trust h",416,4.1,62529
808,"Glass Sword (Red Queen, #2)",Victoria Aveyard,2016,"If there’s one thing Mare Barrow knows, it’s that she’s different.Mare Barrow’s blood is red—the color of common folk—but her Silver ability, the power to control lightning, has turned her into a weapon that the royal court tries to control. The crown calls her an impossibility, a fake, but as she makes her escape from Maven, the prince—the friend—who betrayed her, Mare un",444,3.83,296406
809,Northern Lights (Mass Market Paperback),Nora Roberts,2004,,,4.02,43218
810,Good Girl Complex (Paperback),Elle Kennedy,2022,"She does everything right. So what could go wrong?Mackenzie ""Mac"" Cabot is a people pleaser. Her demanding parents. Her prep school friends. Her long-time boyfriend. It's exhausting, really, always following the rules. Unlike most twenty-year-olds, all she really wants to do is focus on growing her internet business, but first she must get a college degree at her parents' ",368,3.6,39196
811,"Devil's Bride (Cynster, #1)",Stephanie Laurens,1998,,,4.08,20804
812,"Paradise (Second Opportunities, #1)",Judith McNaught,1991,,,4.3,33238
813,"The Secret of Ella and Micha (The Secret, #1)",Jessica Sorensen,2012,,,3.99,70471
814,"Lore Olympus: Volume One (Lore Olympus, #1)",Rachel  Smythe,2021,,,4.37,66132
815,The Girl He Used to Know (Hardcover),Tracey Garvis Graves,2019,"What if you had a second chance at first love?Annika Rose likes being alone. She feels lost in social situations, saying the wrong thing or acting the wrong way. She just can't read people. She prefers the quiet solitude of books or playing chess to being around others. Apart from Jonathan. She liked being around him, but she hasn't seen him for ten years. Until now that i",291,3.96,42169
816,To Hate Adam Connor (Kindle Edition),Ella Maise,2016,,,4.09,47460
817,"Until Friday Night (The Field Party, #1)",Abbi Glines,2015,,,3.92,55583
818,"Barbarian Alien (Ice Planet Barbarians, #2)",Ruby Dixon,2015,"Twelve humans are left stranded on a wintry alien planet. I’m one of them. Yay, me. In order to survive, we have to take on a symbiont that wants to rewire our bodies to live in this brutal place. I like to call it a cootie. And my cootie’s a jerk, because it also thinks I’m the mate to the biggest, surliest alien of the group. BARBARIAN ALIEN is a sequel to ICE PLANET BAR",248,3.81,42699
819,Just Last Night (Paperback),Mhairi McFarlane,2021,"Eve, Justin, Susie, and Ed have been friends since they were teenagers. Now in their thirties, the four are as close as ever, Thursday pub trivia night is sacred, and Eve is still secretly in love with Ed. Maybe she should have moved on by now, but she can’t stop thinking about what could have been. And she knows Ed still thinks about it, too.But then, in an instant, their",416,4.04,31666
820,"To Tame a Highland Warrior (Highlander, #2)",Karen Marie Moning,1999,"A Woman's Tender TouchHe was born to a clan of warriors of supernatural strength, but Gavrael McIllioch abandoned his name and his Highland castle, determined to escape the dark fate of his ancestors. Hiding his identity from the relentless rival clan that hunted him, he called himself Grimm to protect the people he cared for, vowing never to acknowledge his love for ravis",366,4.13,33037
821,"Friends Without Benefits (Knitting in the City, #2)",Penny Reid,2013,,,3.96,26016
822,XOXO (ebook),Axie Oh,2021,"Cello prodigy Jenny has one goal: to get into a prestigious music conservatory. When she meets mysterious, handsome Jaewoo in her uncle’s Los Angeles karaoke bar, it’s clear he’s the kind of boy who would uproot her careful plans. But in a moment of spontaneity, she allows him to pull her out of her comfort zone for one unforgettable night of adventure…before he disappears",352,3.9,16609
823,The Siren (Paperback),Kiera Cass,2009,"""You must never do anything that might expose our secret. This means that, in general, you cannot form close bonds with humans. You can speak to us, and you can always commune with the Ocean, but you are deadly to humans. You are, essentially, a weapon. A very beautiful weapon. I won't lie to you, it can be a lonely existence, but once you are done, you get to live. All yo",267,3.72,76367
824,"A Scot in the Dark (Scandal & Scoundrel, #2)",Sarah MacLean,2016,,,3.74,14277
825,"Maybe Not (Maybe, #1.5)",Colleen Hoover,2014,"Colleen Hoover, the New York Times bestselling author of Maybe Someday brilliantly brings to life the story of the wonderfully hilarious and charismatic Warren in a new novella, Maybe Not.When Warren has the opportunity to live with a female roommate, he instantly agrees. It could be an exciting change.Or maybe not.Especially when that roommate is the cold and seemingly ca",161,3.86,76362
826,"Champion (Legend, #3)",Marie Lu,2013,,,4.33,199846
827,"I Wish You All the Best (I Wish You All the Best, #1)",Mason Deaver,2019,"An alternate cover edition for 9781338306125 can be found here.When Ben De Backer comes out to their parents as nonbinary, they're thrown out of their house and forced to move in with their estranged older sister, Hannah, and her husband, Thomas, whom Ben has never even met. Struggling with an anxiety disorder compounded by their parents' rejection, they come out only to H",329,4.2,35376
